Origem Destino Peso
186 1 1.0
207 1 1.0
218 1 1.0
227 1 1.0
228 1 1.0
229 1 1.0
230 1 1.0
3 2 1.0
186 2 1.0
408 2 1.0
7 3 1.0
186 3 1.0
238 3 1.0
243 3 1.0
408 3 1.0
6 4 1.0
145 4 1.0
147 4 1.0
241 4 1.0
243 4 1.0
404 4 1.0
148 5 1.0
186 5 1.0
7 6 1.0
61 6 1.0
108 6 1.0
157 6 1.0
158 6 1.0
159 6 1.0
167 6 1.0
169 6 1.0
170 6 1.0
220 6 1.0
222 6 1.0
227 6 1.0
228 6 1.0
241 6 1.0
243 6 1.0
245 6 1.0
350 6 1.0
360 6 1.0
374 6 1.0
408 6 1.0
426 6 1.0
428 6 1.0
68 7 1.0
99 7 1.0
145 7 1.0
147 7 1.0
227 7 1.0
228 7 1.0
238 7 1.0
243 7 1.0
15 8 1.0
23 8 1.0
352 8 1.0
353 8 1.0
12 9 1.0
16 9 1.0
176 9 1.0
182 9 1.0
299 10 1.0
300 10 1.0
386 10 1.0
387 10 1.0
408 10 1.0
449 10 1.0
451 10 1.0
299 11 1.0
300 11 1.0
383 11 1.0
384 11 1.0
408 11 1.0
176 12 1.0
182 12 1.0
249 12 1.0
89 13 1.0
112 13 1.0
153 13 1.0
186 13 1.0
193 13 1.0
205 13 1.0
231 13 1.0
145 14 1.0
147 14 1.0
202 14 1.0
205 14 1.0
371 14 1.0
376 14 1.0
408 14 1.0
352 15 1.0
353 15 1.0
356 15 1.0
17 16 1.0
176 16 1.0
182 16 1.0
18 17 1.0
176 17 1.0
182 17 1.0
19 18 1.0
176 18 1.0
182 18 1.0
352 18 1.0
354 18 1.0
20 19 1.0
352 19 1.0
354 19 1.0
21 20 1.0
352 20 1.0
354 20 1.0
22 21 1.0
352 21 1.0
354 21 1.0
23 22 1.0
352 22 1.0
354 22 1.0
352 23 1.0
353 23 1.0
354 23 1.0
102 24 1.0
186 24 1.0
227 24 1.0
228 24 1.0
287 24 1.0
103 25 1.0
186 25 1.0
227 25 1.0
228 25 1.0
289 25 1.0
105 26 1.0
186 26 1.0
227 26 1.0
228 26 1.0
292 26 1.0
39 27 1.0
186 27 1.0
227 27 1.0
228 27 1.0
229 27 1.0
230 27 1.0
392 27 1.0
31 28 1.0
44 28 1.0
186 28 1.0
227 28 1.0
228 28 1.0
229 28 1.0
230 28 1.0
30 29 1.0
76 29 1.0
186 29 1.0
227 29 1.0
228 29 1.0
90 30 1.0
153 30 1.0
227 30 1.0
228 30 1.0
89 31 1.0
186 31 1.0
205 31 1.0
212 31 1.0
76 32 1.0
155 32 1.0
186 32 1.0
298 32 1.0
392 32 1.0
37 33 1.0
145 33 1.0
147 33 1.0
153 33 1.0
390 33 1.0
408 33 1.0
166 34 1.0
186 34 1.0
371 34 1.0
372 34 1.0
399 35 1.0
437 35 1.0
37 36 1.0
45 36 1.0
145 36 1.0
147 36 1.0
229 36 1.0
230 36 1.0
145 37 1.0
147 37 1.0
44 38 1.0
88 38 1.0
153 38 1.0
427 38 1.0
153 39 1.0
227 39 1.0
228 39 1.0
229 39 1.0
230 39 1.0
427 39 1.0
117 40 1.0
118 40 1.0
173 40 1.0
174 40 1.0
186 40 1.0
77 41 1.0
79 41 1.0
186 41 1.0
227 41 1.0
228 41 1.0
43 42 1.0
49 42 1.0
155 42 1.0
186 42 1.0
227 42 1.0
228 42 1.0
155 43 1.0
186 43 1.0
396 43 1.0
227 44 1.0
228 44 1.0
229 44 1.0
230 44 1.0
155 45 1.0
186 45 1.0
229 45 1.0
